bean_id,rating,aroma,acidity,body,flavor,aftertaste
451,93,9.0,9.0,8.0,9.0,8.0
452,92,9.0,8.0,8.0,9.0,8.0
453,93,9.0,9.0,8.0,9.0,8.0
454,93,9.0,8.0,9.0,9.0,8.0
455,93,9.0,8.0,9.0,9.0,8.0
456,94,9.0,9.0,9.0,9.0,8.0
457,95,9.0,9.0,9.0,9.0,9.0
458,95,9.0,9.0,9.0,9.0,9.0
459,94,9.0,9.0,9.0,9.0,8.0
460,95,9.0,9.0,9.0,9.0,9.0
461,93,9.0,8.0,9.0,9.0,8.0
462,94,9.0,9.0,9.0,9.0,8.0
463,90,8.0,8.0,8.0,9.0,7.0
464,93,9.0,8.0,9.0,9.0,8.0
465,94,9.0,9.0,9.0,9.0,8.0
466,93,9.0,8.0,9.0,9.0,8.0
467,94,9.0,9.0,9.0,9.0,8.0
468,92,9.0,8.0,9.0,9.0,7.0
469,90,8.0,8.0,8.0,9.0,7.0
470,93,8.0,9.0,9.0,9.0,8.0
471,94,9.0,9.0,9.0,9.0,8.0
472,92,9.0,8.0,8.0,9.0,8.0
473,92,9.0,8.0,8.0,9.0,8.0
474,94,9.0,9.0,9.0,9.0,8.0
475,94,9.0,9.0,9.0,9.0,8.0
476,93,9.0,9.0,8.0,9.0,8.0
477,95,9.0,9.0,9.0,9.0,9.0
478,93,9.0,9.0,8.0,9.0,8.0
479,93,9.0,9.0,8.0,9.0,8.0
480,92,8.0,9.0,8.0,9.0,8.0
481,94,9.0,9.0,9.0,9.0,8.0
482,94,9.0,8.0,9.0,9.0,9.0
483,94,9.0,9.0,9.0,9.0,8.0
484,92,9.0,8.0,8.0,9.0,8.0
485,93,9.0,8.0,9.0,9.0,8.0
486,92,8.0,9.0,8.0,9.0,8.0
487,94,9.0,9.0,9.0,9.0,8.0
488,90,8.0,8.0,8.0,9.0,7.0
489,92,9.0,8.0,8.0,9.0,8.0
490,90,8.0,8.0,8.0,8.0,8.0
491,92,9.0,8.0,8.0,9.0,8.0
492,92,9.0,8.0,8.0,9.0,8.0
493,93,9.0,9.0,8.0,9.0,8.0
494,93,9.0,8.0,9.0,9.0,8.0
495,94,9.0,9.0,9.0,9.0,8.0
496,93,9.0,8.0,9.0,9.0,8.0
497,92,9.0,8.0,8.0,9.0,8.0
498,91,9.0,8.0,8.0,9.0,7.0
499,93,9.0,9.0,8.0,9.0,8.0
500,93,9.0,8.0,9.0,9.0,8.0
501,95,9.0,9.0,9.0,9.0,9.0
502,93,9.0,8.0,9.0,9.0,8.0
503,93,9.0,9.0,8.0,9.0,8.0
504,94,9.0,9.0,9.0,9.0,8.0
505,93,9.0,9.0,8.0,9.0,8.0
506,93,9.0,8.0,9.0,9.0,8.0
507,95,9.0,9.0,9.0,9.0,9.0
508,94,9.0,9.0,9.0,9.0,8.0
509,92,8.0,8.0,9.0,9.0,8.0
510,88,8.0,7.0,8.0,8.0,7.0
511,94,9.0,9.0,9.0,9.0,8.0
512,96,9.0,9.0,9.0,10.0,9.0
513,98,10.0,10.0,9.0,10.0,9.0
514,94,9.0,9.0,9.0,9.0,8.0
515,95,9.0,9.0,9.0,9.0,9.0
516,90,8.0,8.0,8.0,8.0,8.0
517,94,9.0,9.0,9.0,9.0,8.0
518,93,9.0,8.0,9.0,9.0,8.0
519,94,9.0,9.0,9.0,9.0,8.0
520,93,9.0,8.0,9.0,9.0,8.0
521,92,9.0,8.0,8.0,9.0,8.0
522,97,10.0,8.0,10.0,10.0,9.0
523,95,9.0,9.0,9.0,9.0,9.0
524,95,9.0,9.0,9.0,9.0,9.0
525,95,9.0,9.0,9.0,9.0,9.0
526,92,9.0,8.0,8.0,9.0,8.0
527,93,9.0,8.0,9.0,9.0,8.0
528,94,9.0,9.0,9.0,9.0,8.0
529,96,9.0,9.0,9.0,10.0,9.0
530,93,9.0,8.0,9.0,9.0,8.0
531,93,9.0,9.0,8.0,9.0,8.0
532,94,9.0,9.0,9.0,9.0,8.0
533,94,9.0,9.0,9.0,9.0,8.0
534,96,9.0,9.0,9.0,10.0,9.0
535,91,8.0,8.0,9.0,9.0,7.0
536,93,9.0,8.0,9.0,9.0,8.0
537,94,9.0,9.0,9.0,9.0,8.0
538,92,8.0,8.0,9.0,9.0,8.0
539,93,9.0,8.0,9.0,9.0,8.0
540,94,9.0,9.0,9.0,9.0,8.0
541,94,9.0,9.0,9.0,9.0,8.0
542,90,8.0,8.0,8.0,8.0,8.0
543,93,9.0,8.0,9.0,9.0,8.0
